file_path,caption_nl
images/mol_0000.png,"Non-Markush molecular image. Contains 31 atoms, including 2 O atoms, 6 N atoms, 1 S atom. Contains 6 rings."
images/mol_0001.png,"Non-Markush molecular image. Contains 28 atoms, including 1 O atom, 6 N atoms. Contains 1 ring."
images/mol_0002.png,"Non-Markush molecular image. Contains 19 atoms, including 2 N atoms, 1 S atom. Contains 2 rings."
images/mol_0003.png,"Non-Markush molecular image. Contains 26 atoms, including 5 O atoms, 1 N atom. Contains 2 rings."
images/mol_0004.png,"Non-Markush molecular image. Contains 21 atoms, including 3 O atoms, 3 N atoms, 2 Cl atoms. Contains 2 rings."
images/mol_0005.png,"Non-Markush molecular image. Contains 31 atoms, including 6 O atoms, 2 N atoms, 1 S atom, 1 Cl atom. Contains 3 rings."
images/mol_0006.png,"Non-Markush molecular image. Contains 25 atoms, including 1 O atom, 4 N atoms, 1 Cl atom. Contains 3 rings."
images/mol_0007.png,"Non-Markush molecular image. Contains 26 atoms, including 2 O atoms, 2 N atoms, 1 S atom, 1 F atom. Contains 3 rings."
images/mol_0008.png,"Non-Markush molecular image. Contains 10 atoms, including 1 O atom, 3 N atoms. Contains 1 ring."
images/mol_0009.png,"Non-Markush molecular image. Contains 36 atoms, including 1 O atom, 3 N atoms, 2 F atoms. Contains 5 rings."
images/mol_0010.png,"Non-Markush molecular image. Contains 19 atoms, including 5 N atoms. Contains 5 rings."
images/mol_0011.png,"Non-Markush molecular image. Contains 13 atoms, including 6 O atoms, 1 N atom, 4 S atoms. Contains 0 rings."
images/mol_0012.png,"Non-Markush molecular image. Contains 32 atoms, including 3 O atoms, 4 N atoms. Contains 4 rings."
images/mol_0013.png,"Non-Markush molecular image. Contains 53 atoms, including 13 O atoms, 2 N atoms. Contains 7 rings."
images/mol_0014.png,"Non-Markush molecular image. Contains 19 atoms, including 2 O atoms, 4 N atoms. Contains 3 rings."
images/mol_0015.png,"Non-Markush molecular image. Contains 20 atoms, including 4 O atoms, 2 N atoms, 1 S atom. Contains 1 ring."
images/mol_0016.png,"Non-Markush molecular image. Contains 30 atoms, including 2 O atoms, 5 N atoms. Contains 5 rings."
images/mol_0017.png,"Non-Markush molecular image. Contains 10 atoms, including 2 S atoms. Contains 1 ring."
images/mol_0018.png,"Non-Markush molecular image. Contains 36 atoms, including 4 O atoms, 4 N atoms. Contains 4 rings."
images/mol_0019.png,"Non-Markush molecular image. Contains 23 atoms, including 2 O atoms, 5 N atoms, 1 Cl atom. Contains 3 rings."
images/mol_0020.png,"Non-Markush molecular image. Contains 15 atoms, including 3 O atoms, 1 Br atom. Contains 1 ring."
images/mol_0021.png,"Non-Markush molecular image. Contains 57 atoms, including 13 O atoms, 1 N atom. Contains 2 rings."
images/mol_0022.png,"Non-Markush molecular image. Contains 18 atoms, including 3 N atoms, 1 S atom, 1 Br atom. Contains 1 ring."
